268.1 Kevin Garnett, Kevin Durant, Kevin Johnson, Kevin McHale, Kevin Love
1.1 Mel Counts, Mel Daniels, Mel Gibson, Mel Hirsch, Mel Hutchins
1.1 Leon Wood, Leon Powe, Leon Blevins, Leon Brown, Leon Smith
0.1 Jaylen Brown, Jaylen Hoard, Jaylen Morris, Jaylen Nowell, Jaylen Adams
0.1 Willie Reed, Willis Reed, Hub Reed, Ron Reed, Davon Reed
0.1 Larry Sanders, Al Sanders, Tom Sanders, Frankie Sanders, Melvin Sanders
0.1 Melvin Turpin, Ed Melvin, Melvin Newbern, Melvin Sanders, Melvin Frazier
0.1 Dean Garrett, Garrett Temple, Rowland Garrett, Billy Garrett, Dick Garrett
0.1 Leonard Gray, Gary Gray, Wyndol Gray, Evric Gray, Josh Gray
0.1 Ronald Thomas, Ronald Franz, Ronald Kozlicki, Ronald Taylor, Ronald Murray
0.1 Claude Terry, Claude English, Claude Overton, Claude Virden, Claude Gregory
